content,hashtag,timestamp,User
@ConnieSchultz @KentState be well Connie,KentState,2023-05-05 20:25:59+00:00,Vito
"Turned in my office key today. Left this note. 

I love you, ⁦@KentState⁩.",KentState,2023-05-05 20:25:49+00:00,barbiesnow
"Kent State's @SPCSKSU was created as a living memorial to the four students killed on May 4, 1970. Learn more about how honoring the legacy of May 4 is still key to the school’s identity and mission.",KentState,2023-05-05 20:12:53+00:00,Kent State
It's Finals Week! University Libraries wishes all students success on their final exams.,KentState,2023-05-05 20:00:30+00:00,University Libraries
"Photo of the Week: Alumni, faculty, staff, students and members of the community came together on Thursday to commemorate the tragedy of May 4, 1970 at Kent State 53 years ago.",KentState,2023-05-05 19:43:09+00:00,Aire P-R
Judge Joe Brown Reveals Startling New Facts About Kent State Tragedy  via @YouTube @JudgeJoeBrownTV,KentState,2023-05-05 19:30:11+00:00,A.M.K
1970: The shootings at  caused an explosion of anger and outrage on college campuses. Over 400 colleges and high schools participated in the National Student Strike.,KentState,2023-05-05 19:18:50+00:00,Deb Shaw
"May 4 1970 On this day in 1970
National Guard troops fired on antiwar protesters at Kent State University, killing four students and wounding nine others.

…the one school shooting no one talks about anymore.
And the one you should never forget. For so many…",KentState,2023-05-05 19:11:09+00:00,Greyson Carlisle
Show your school spirit with our Kent State crewneck sweatshirts! Available now in-store or online 🔵🟡,KentState,2023-05-05 18:57:15+00:00,Blue & Gold Fanstore
The FBI was so concerned with finding any excuse to justify the deaths at Kent State that they tested everything they could find that might be considered drug paraphernalia. This included examining rubber balloons and test tubes for glue sniffing.,KentState,2023-05-05 18:47:07+00:00,Usamljeny Nitko
"The FBI was unflinching in its attempts to blame students for the Guard’s actions. A May 8, 1970 FBI memo states unequivocally: “There is, of course, considerable pressure on us to complete all investigations as expeditiously as possible.”",KentState,2023-05-05 18:47:01+00:00,Usamljeny Nitko
"Day 4 “Four” ‘May the 4th Be With You'...

…does that make tomorrow 'Revenge of the 5th'? 🤔🐺🚀🐺

Corporal Quigley On A Red Chair Far, Far Away!🚀🐺🚀🐺",KentState,2023-05-05 18:12:27+00:00,Jennifer Allen
"@Gvc3Casale @RollingStone @KentState @KSUAlumni @DEVO @Gvc3Casale PLAYLIST (Below) and ONLINE AUDIO from the MAY 4th edition of WYSO 91.3 FM’s Midday Music program

LISTEN TO THE PROGRAM

PLAYLIST",KentState,2023-05-05 17:52:42+00:00,Andy Valeri
"🎙️ New: “Evidence into Action”  
 
In the latest episode of our podcast, we focus on metacognition. 
 
Featuring Prof John Dunlosky of @KentState, @Hannahlheron,  @JoAshcroftEd and Freya Morrissey of @TeignSchool. 

 Listen now:",KentState,2023-05-05 17:49:34+00:00,Lisa Pettifer 🌈
⚡️⚡️⚡️🦅🦅🦅 come ball out with the best!,KentState,2023-05-05 17:41:24+00:00,Sidelines - Kent State ⚡️🦅
